"gutenberg_id","title","author","lccn","wikipedia_url","publication_year"
"236","The Jungle Book","Rudyard Kipling","","https://en.wikipedia.org/wiki/The_Jungle_Book","1894"
"238","Dear Enemy","Jean Webster","","https://en.wikipedia.org/wiki/Dear_Enemy_(novel)","1915"
"242","My Ántonia","Willa Cather","","https://en.wikipedia.org/wiki/My_%C3%81ntonia","1918"
"243","The forged coupon, and other stories","graf Leo Tolstoy","","https://en.wikipedia.org/wiki/The_Forged_Coupon","1911"
"244","A Study in Scarlet","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/A_Study_in_Scarlet","1887"
"245","Life on the Mississippi","Mark Twain","","https://en.wikipedia.org/wiki/Life_on_the_Mississippi","1883"
"246","The Rubaiyat of Omar Khayyam","Omar Khayyam","","https://en.wikipedia.org/wiki/Rubaiyat_of_Omar_Khayyam","1859"
"266","Confessio Amantis; Or, Tales of the Seven Deadly Sins","John Gower","","https://en.wikipedia.org/wiki/Confessio_Amantis","1389"
"267","The Touchstone","Edith Wharton","","https://en.wikipedia.org/wiki/The_Touchstone_(novella)","1900"
"268","The Octopus : A Story of California","Frank Norris","","https://en.wikipedia.org/wiki/The_Octopus:_A_Story_of_California","1901"
"269","Beasts and Super-Beasts","Saki","","https://en.wikipedia.org/wiki/Beasts_and_Super-Beasts","1914"
"270","Dream Days","Kenneth Grahame","","https://en.wikipedia.org/wiki/Dream_Days","1898"
"271","Black Beauty","Anna Sewell","","https://en.wikipedia.org/wiki/Black_Beauty","1877"
"273","The Smalcald Articles","Martin Luther","","https://en.wikipedia.org/wiki/Smalcald_Articles","1537"
"274","Disputation of Doctor Martin Luther on the Power and Efficacy of Indulgences","","","https://en.wikipedia.org/wiki/Ninety-five_Theses","1517"
"275","The Augsburg Confession","Philipp Melanchthon","","https://en.wikipedia.org/wiki/Augsburg_Confession","1530"
"276","Franz Haydn's 104th Symphony [1794-5]","Joseph Haydn","","https://en.wikipedia.org/wiki/Symphony_No._104_(Haydn)","1795"
"283","The Reef","Edith Wharton","","https://en.wikipedia.org/wiki/The_Reef_(novel)","1912"
"284","The House of Mirth","Edith Wharton","","https://en.wikipedia.org/wiki/The_House_of_Mirth","1905"
"285","The Lost Continent","Charles John Cutcliffe Wright Hyne","","https://en.wikipedia.org/wiki/The_Lost_Continent:_The_Story_of_Atlantis","1900"
"289","The Wind in the Willows","Kenneth Grahame","","https://en.wikipedia.org/wiki/The_Wind_in_the_Willows","1908"
"290","The Stark Munro Letters","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/The_Stark_Munro_Letters","1895"
"291","The Golden Age","Kenneth Grahame","","https://en.wikipedia.org/wiki/The_Golden_Age_(Grahame)","1895"
"298","The Market-Place","Harold Frederic","","https://en.wikipedia.org/wiki/The_Market_Place","1899"
"300","United States Declaration of Independence","Thomas Jefferson","","https://en.wikipedia.org/wiki/United_States_Declaration_of_Independence","1776"
"301","The Ballad of Reading Gaol","Oscar Wilde","","https://en.wikipedia.org/wiki/The_Ballad_of_Reading_Gaol","1897"
"304","Rio Grande's Last Race, and Other Verses","A. B. Paterson","","https://en.wikipedia.org/wiki/Rio_Grande%27s_Last_Race_and_Other_Verses","1902"
"307","Three Elephant Power, and Other Stories","A. B. Paterson","","https://en.wikipedia.org/wiki/Three_Elephant_Power_and_Other_Stories","1917"
"308","Three Men in a Boat (To Say Nothing of the Dog)","Jerome K. Jerome","","https://en.wikipedia.org/wiki/Three_Men_in_a_Boat","1889"
"310","Before Adam","Jack London","","https://en.wikipedia.org/wiki/Before_Adam","1907"
"316","The Golden Road","L. M. Montgomery","","https://en.wikipedia.org/wiki/The_Golden_Road_(Montgomery_novel)","1913"
"318","John Barleycorn","Jack London","","https://en.wikipedia.org/wiki/John_Barleycorn_(novel)","1913"
"322","St. Ives: Being the Adventures of a French Prisoner in England","Stevenson","","https://en.wikipedia.org/wiki/St._Ives_(novel)","1897"
"325","Phantastes: A Faerie Romance for Men and Women","George MacDonald","","https://en.wikipedia.org/wiki/Phantastes","1858"
"327","The Princess Aline","Richard Harding Davis","","https://en.wikipedia.org/wiki/The_Princess_Aline","1895"
"329","Island Nights' Entertainments","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Island_Nights%27_Entertainments","1893"
"331","The Mucker","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/The_Mucker","1914"
"338","Old Indian Legends","Zitkala-Sa","","https://en.wikipedia.org/wiki/Old_Indian_Legends","1901"
"342","Margaret Ogilvy","J. M. Barrie","","https://en.wikipedia.org/wiki/Margaret_Ogilvy","1896"
"344","The Merry Men, and Other Tales and Fables","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/The_Merry_Men_and_Other_Tales_and_Fables","1887"
"345","Dracula","Bram Stoker","","https://en.wikipedia.org/wiki/Dracula","1897"
"346","The Troll Garden, and Selected Stories","Willa Cather","","https://en.wikipedia.org/wiki/The_Troll_Garden","1905"
"351","Of Human Bondage","W. Somerset Maugham","","https://en.wikipedia.org/wiki/Of_Human_Bondage","1915"
"355","The Parasite: A Story","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/The_Parasite","1894"
"356","Beyond the City","Arthur Conan Doyle","","https://en.wikipedia.org/wiki/Beyond_the_City","1892"
"357","A Dream of John Ball; and, A King's Lesson","William Morris","","https://en.wikipedia.org/wiki/A_Dream_of_John_Ball","1888"
"363","The Oakdale Affair","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/The_Oakdale_Affair","1918"
"364","The Mad King","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/The_Mad_King","1914"
"365","The Land of Little Rain","Mary Austin","","https://en.wikipedia.org/wiki/The_Land_of_Little_Rain","1903"
"367","The Country of the Pointed Firs","Sarah Orne Jewett","","https://en.wikipedia.org/wiki/The_Country_of_the_Pointed_Firs","1896"
"369","The outlaw of Torn","Edgar Rice Burroughs","","https://en.wikipedia.org/wiki/The_Outlaw_of_Torn","1927"
"370","The Fortunes and Misfortunes of the Famous Moll Flanders","Daniel Defoe","","https://en.wikipedia.org/wiki/Moll_Flanders","1722"
"372","Prince Otto, a Romance","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Prince_Otto","1885"
"375","An Occurrence at Owl Creek Bridge","Ambrose Bierce","","https://en.wikipedia.org/wiki/An_Occurrence_at_Owl_Creek_Bridge","1890"
"376","A Journal of the Plague Year","Daniel Defoe","","https://en.wikipedia.org/wiki/A_Journal_of_the_Plague_Year","1722"
"378","The White Knight: Tirant Lo Blanc","Joanot Martorell and Martí Joan de Galba","","https://en.wikipedia.org/wiki/Tirant_lo_Blanch","1490"
"380","Weir of Hermiston: An Unfinished Romance","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Weir_of_Hermiston","1896"
"381","Memories and Portraits","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Memories_and_Portraits","1887"
"382","Edinburgh: Picturesque Notes","Robert Louis Stevenson","","https://en.wikipedia.org/wiki/Edinburgh:_Picturesque_Notes","1878"
"384","The Lost Prince","Frances Hodgson Burnett","","https://en.wikipedia.org/wiki/The_Lost_Prince_(Burnett_novel)","1915"
"388","The Crossing","Winston Churchill","","https://en.wikipedia.org/wiki/The_Crossing_(Churchill_novel)","1904"
"389","The Great God Pan","Arthur Machen","","https://en.wikipedia.org/wiki/The_Great_God_Pan","1894"
